UserId,days,edit_count
"7488110","5","342"
"7487135","263","269"
"7467428","187","225"
"7467246","204","434"
"7461381","321","517"
"7456236","159","186"
"7450125","146","736"
"7443287","237","772"
"7440820","259","119"
"7439291","300","79"
"7437058","334","156"
"7433763","33","127"
"7429447","272","961"
"7427111","316","183"
"7424454","90","71"
"7420513","35","244"
"7414939","111","649"
"7414759","189","399"
"7408143","70","90"
"7405477","225","91"
"7403180","206","148"
"7394414","17","250"
"7394106","164","157"
"7393973","52","148"
"7382406","32","407"
"7368985","282","219"
"7362128","73","136"
"7359094","242","260"
"7355533","310","424"
"7347631","361","143"
"7343596","64","195"
"7334796","90","184"
"7334327","149","94"
"7333443","221","270"
"7311767","36","2919"
"7310344","82","332"
"7306168","192","90"
"7303447","78","332"
"7296893","317","345"
"7294900","221","1071"
"7291240","283","182"
"7281091","228","175"
"7275984","71","565"
"7264620","214","385"
"7256341","227","397"
"7256228","218","403"
"7256199","70","126"
"7256039","94","756"
"7255359","348","99"
"7252805","303","262"
"7252182","77","997"
"7250862","226","221"
"7248342","243","714"
"7245145","354","143"
"7235049","108","384"
"7226561","134","312"
"7224597","237","304"
"7214344","261","538"
"7212686","228","571"
"7209146","326","210"
"7208263","80","112"
"7200715","314","187"
"7186095","125","107"
"7179086","17","742"
"7179042","257","173"
"7169688","46","130"
"7158505","201","96"
"7155133","299","133"
"7148638","398","117"
"7135893","92","494"
"7134908","226","261"
"7133482","79","346"
"7132550","373","192"
"7128934","115","1010"
"7128034","220","556"
"7117003","247","375"
"7111561","379","221"
"7108457","160","263"
"7107027","68","170"
"7088290","331","89"
"7084898","63","143"
"7079025","302","2739"
"7076958","315","338"
"7076153","122","539"
"7074938","68","133"
"7073808","340","300"
"7071093","130","80"
"7057680","43","652"
"7055233","26","520"
"7051394","68","550"
"7049894","50","96"
"7040040","404","264"
"7032856","428","291"
"7031230","49","1499"
"7023590","160","554"
"7023245","212","229"
"7018546","343","88"
"7015400","277","561"
"7011496","214","378"
"7008044","400","227"
"6999200","294","92"
"6950238","71","410"
"6944107","383","81"
"6941627","291","177"
"6935152","352","237"
"6926168","436","149"
"6910411","97","1099"
"6910253","223","635"
"6908525","348","107"
"6898523","444","105"
"6894075","311","158"
"6887672","129","364"
"6886968","267","132"
"6882276","53","117"
"6880611","461","80"
"6879826","106","856"
"6862601","114","2604"
"6857662","104","213"
"6852729","318","862"
"6850771","33","768"
"6834114","470","125"
"6815131","341","111"
"6813506","84","296"
"6811846","33","138"
"6811411","214","680"
"6808674","82","106"
"6803066","411","142"
"6799340","134","168"
"6797783","358","72"
"6794568","390","221"
"6789498","29","237"
"6788803","266","224"
"6783663","291","141"
"6782707","298","219"
"6781889","91","208"
"6779307","64","491"
"6773022","385","125"
"6768769","442","136"
"6768585","423","110"
"6766146","468","119"
"6765643","54","284"
"6761181","390","189"
"6760995","224","652"
"6760571","370","105"
"6756805","302","157"
"6756033","75","153"
"6755093","350","175"
"6751649","31","224"
"6748913","436","203"
"6742808","24","164"
"6738015","265","670"
"6737234","464","91"
"6730571","382","372"
"6719047","360","117"
"6715577","65","277"
"6714194","186","220"
"6711752","188","76"
"6710751","93","217"
"6709604","494","107"
"6708661","349","212"
"6700627","492","199"
"6699433","452","391"
"6680915","476","116"
"6680611","167","561"
"6680583","287","226"
"6677986","168","299"
"6677650","385","72"
"6677244","119","296"
"6676466","216","200"
"6671342","65","679"
"6670723","83","921"
"6662421","420","112"
"6657015","297","107"
"6656894","235","241"
"6656269","448","159"
"6655211","398","443"
"6655094","154","521"
"6654773","233","147"
"6654077","376","317"
"6652664","4","458"
"6650102","116","426"
"6648807","165","361"
"6644368","478","120"
"6643185","64","120"
"6640099","131","924"
"6637668","133","209"
"6633975","65","123"
"6630837","479","96"
"6629154","459","84"
"6626093","392","163"
"6625726","217","200"
"6624680","97","153"
"6622817","263","766"
"6622587","166","3721"
"6620474","184","195"
"6617975","394","69"
"6614295","225","174"
"6612932","71","723"
"6611487","383","448"
"6608101","41","486"
"6602495","425","129"
"6599590","76","975"
"6597281","226","119"
"6595116","69","162"
"6594576","391","323"
"6592882","360","244"
"6592263","430","317"
"6583140","178","1198"
"6578921","53","355"
"6572922","92","575"
"6563293","285","186"
"6560478","257","238"
"6559962","434","98"
"6557569","66","132"
"6556960","90","93"
"6556397","257","236"
"6555896","154","586"
"6554747","105","222"
"6551577","29","607"
"6551426","373","302"
"6539544","34","194"
"6535336","190","1649"
"6534219","27","196"
"6532640","372","152"
"6530695","256","326"
"6530134","219","202"
"6530111","239","179"
"6529537","84","480"
"6525260","72","242"
"6523193","117","590"
"6523163","240","515"
"6521116","129","1274"
"6519111","430","142"
"6509507","501","141"
"6507689","111","265"
"6505250","450","488"
"6499716","367","117"
"6498658","51","589"
"6496010","91","194"
"6493868","381","76"
"6489306","11","243"
"6489036","441","152"
"6479530","419","220"
"6478047","557","137"
"6473867","496","182"
"6472853","365","112"
"6472077","263","132"
"6471538","59","515"
"6468577","27","519"
"6468241","97","267"
"6464308","182","474"
"6463791","185","666"
"6461462","325","822"
"6451573","96","2898"
"6449750","57","280"
"6448351","203","285"
"6446385","66","108"
"6439240","208","295"
"6433023","14","2296"
"6428638","263","374"
"6427646","232","228"
"6426692","467","559"
"6426617","127","324"
"6419007","536","1823"
"6415268","495","206"
"6414102","509","149"
"6413377","525","371"
"6412888","327","150"
"6412824","124","88"
"6408573","49","166"
